Voucher_Number,Date,Amount,Major_Head,Head,Sub_Head,Payment_Type,Session,Details
220,27/03/2025,7000,Fees,Fees,Fees,Cash,2024-2025,Shidhi Kumawat
219,25/03/2025,4000,Fees,Fees,Tuition Fee,Cash,2024-2025,Rajveer Jajoria
218,22/03/2025,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Jaya Choudhary
217,20/03/2025,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Sumit Dhayal
216,19/03/2025,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Manish Jat
215,19/03/2025,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Harshvardhan Singh
214,19/03/2025,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Mohit Singh Jajoria
213,18/03/2025,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Bittu Yadav
212,18/03/2025,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Sur* Devashi
211,14/03/2025,3000,Fees,Fees,Tuition Fee,Cash,2024-2025,Jitendra Choudhary
210,13/03/2025,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Nishanth Aechara
209,12/03/2025,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Neetu Choudhary
208,12/03/2025,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Kushum Khowal
207,12/03/2025,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Anjali Choudhary
206,12/03/2025,3000,Fees,Fees,Tuition Fee,Cash,2024-2025,Vaidik Sharma
205,10/03/2025,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Payal Choudhary
204,10/03/2025,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Manshi Choudhary
203,08/03/2025,5500,Fees,Fees,Tuition Fee,Cash,2024-2025,Kanika Choudhary
202,04/03/2025,4000,Fees,Fees,Tuition Fee,Cash,2024-2025,Jatin D
201,03/03/2025,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Sahil Gurjer
200,01/03/2025,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Shi* Rebari
199,21/02/2025,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Animesh Sharma
198,21/02/2025,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Lucky Choudhary
197,15/02/2025,6000,Fees,Fees,Tuition Fee,Cash,2024-2025,Ritu Yadav
196,15/02/2025,3000,Fees,Fees,Tuition Fee,Cash,2024-2025,Nishanth Aechara
195,15/02/2025,3000,Fees,Fees,Tuition Fee,Cash,2024-2025,Nirmal Devashi
194,14/02/2025,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Priyanka Jangid
193,13/02/2025,28300,Fees,Fees,Tuition Fee,Cash,2024-2025,Yashmin Choudhary
192,12/02/2025,4000,Fees,Fees,Tuition Fee,Cash,2024-2025,Yash Choudhary
191,11/02/2025,14000,Fees,Fees,Tuition Fee,Cash,2024-2025,Aditrya
183,10/02/2025,3000,Fees,Fees,Tuition Fee,Cash,2024-2025,Vikrma Devashi
182,08/02/2025,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Payal Devashi
181,08/02/2025,40000,Fees,Fees,Tuition Fee,Cash,2024-2025,N Lakhara
180,08/02/2025,50000,Fees,Fees,Tuition Fee,Cash,2024-2025,Ashmi Jakhar
179,08/02/2025,7000,Fees,Fees,Tuition Fee,Cash,2024-2025,Sarvan Chandiwal
178,08/02/2025,7000,Fees,Fees,Tuition Fee,Cash,2024-2025,Mahesh Aechra
177,08/02/2025,30000,Fees,Fees,Tuition Fee,Cash,2024-2025,Yogesh Katariya
176,07/02/2025,30000,Fees,Fees,Tuition Fee,Cash,2024-2025,Yuganter Choudhary
175,07/02/2025,25000,Fees,Fees,Tuition Fee,Cash,2024-2025,Shubham Verma
174,07/02/2025,8500,Fees,Fees,Tuition Fee,Cash,2024-2025,Shivam Choudhary
173,07/02/2025,8000,Fees,Fees,Tuition Fee,Cash,2024-2025,Pooja Devashi
172,07/02/2025,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Nikita Devashi
171,07/02/2025,30000,Fees,Fees,Tuition Fee,Cash,2024-2025,Surya Jindal
170,07/02/2025,15000,Fees,Fees,Tuition Fee,Cash,2024-2025,Harish Naga
169,06/02/2025,4000,Fees,Fees,Tuition Fee,Cash,2024-2025,Mohit Singh Jajoria
8,06/02/2025,26900,Loan,Other Income,Loan,Credit,2024-2025,Loan Sidharth Sir
168,05/02/2025,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Manshi Chouhdary
167,01/02/2025,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Anjali Choudhary
184,30/01/2025,18000,Fees,Fees,Tuition Fee,Cash,2024-2025,A nand Bugaliya
190,29/01/2025,3000,Fees,Fees,Tuition Fee,Cash,2024-2025,Jitendra Choudhary
189,29/01/2025,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Jaya Choudhary
188,28/01/2025,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Jatin Dabhaniya
7,27/01/2025,1650,Misc Sale,Other Income,Misc Sale,Cash,2024-2025,Weste Sale
166,24/01/2025,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Manish Jat
165,23/01/2025,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Deepak Yadav
164,22/01/2025,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Sumit Dhayal
163,18/01/2025,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Krishan Sharma
162,18/01/2025,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Nitu Yadav
6,02/01/2025,2000,Bus Booking,Other Income,Bus Booking,Cash,2024-2025,Bus booking Bhiva Ran=m Yadav
161,28/12/2024,2500,Fees,Fees,Tuition Fee,Cash,2024-2025,Jitendra Choudhary
230238,25/12/2024,3000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230237,25/12/2024,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230236,24/12/2024,12000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230235,24/12/2024,20000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230234,23/12/2024,2000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230233,22/12/2024,4500,Fees,Fees,Student,Cash,2023-2024,Data  Migration
160,21/12/2024,22000,Fees,Fees,Tuition Fee,Cash,2024-2025,Vageshree Sharma
159,20/12/2024,6000,Fees,Fees,Tuition Fee,Cash,2024-2025,Yogita Khowal
158,20/12/2024,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Sahil Gurjer
230232,19/12/2024,10000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230231,19/12/2024,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
157,19/12/2024,4000,Fees,Fees,Tuition Fee,Cash,2024-2025,Nirmal Devashi
230230,18/12/2024,10000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
156,18/12/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Ritu Yadav
155,17/12/2024,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Manshi Chouhdary
230229,16/12/2024,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
154,16/12/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Aditya Choudhary
153,16/12/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Payal Verma
5,16/12/2024,3700,Bus Booking,Other Income,Bus Booking,Cash,2024-2025,Bus Booking Bhinva Ram Yadav
230228,15/12/2024,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230227,15/12/2024,4000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230226,14/12/2024,10000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
152,14/12/2024,8000,Fees,Fees,Tuition Fee,Cash,2024-2025,Animesh Sharma
151,14/12/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Himanshu Choudhary
230225,13/12/2024,3000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230224,13/12/2024,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230223,13/12/2024,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230222,13/12/2024,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
150,13/12/2024,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Vitram Devashi
230221,12/12/2024,8500,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230220,12/12/2024,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230219,12/12/2024,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230218,11/12/2024,2000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
